date,equity
2022-11-29,0.9998764037
2022-11-30,1.011238638
2022-12-01,1.02580522
2022-12-02,1.027072747
2022-12-05,1.032531251
2022-12-06,1.020352365
2022-12-07,1.024277409
2022-12-08,1.028527012
2022-12-09,1.028920301
2022-12-12,1.027005382
2022-12-13,1.033817307
2022-12-14,1.0434568
2022-12-15,1.033522765
2022-12-16,1.031287801
2022-12-19,1.030201144
2022-12-20,1.028288324
2022-12-21,1.041598108
2022-12-22,1.040517974
2022-12-23,1.042505017
2022-12-26,1.042204358
2022-12-27,1.043322929
2022-12-28,1.037958817
2022-12-29,1.04274792
2022-12-30,1.050058806
2023-01-02,1.056134303
2023-01-03,1.047950773
2023-01-04,1.054760387
2023-01-05,1.043818239
2023-01-06,1.057748908
2023-01-09,1.069585732
2023-01-10,1.067113326
2023-01-11,1.067545823
2023-01-12,1.078989058
2023-01-13,1.081423171
2023-01-16,1.089962275
2023-01-17,1.080321441
2023-01-18,1.075964721
2023-01-19,1.079296332
2023-01-20,1.08243872
2023-01-23,1.083608293
2023-01-24,1.082723034
2023-01-25,1.086526988
2023-01-26,1.087775075
2023-01-27,1.086513216
2023-01-30,1.085042424
2023-01-31,1.084777076
2023-02-01,1.095629385
2023-02-02,1.093264764
2023-02-03,1.07658969
2023-02-06,1.069993132
2023-02-07,1.064626545
2023-02-08,1.064963012
2023-02-09,1.067158536
2023-02-10,1.060562519
2023-02-13,1.063179383
2023-02-14,1.063445684
2023-02-15,1.054411963
2023-02-16,1.050395952
2023-02-17,1.050589252
2023-02-20,1.050586161
2023-02-21,1.047005202
2023-02-22,1.041103562
2023-02-23,1.038663963
2023-02-24,1.031027446
2023-02-27,1.031636324
2023-02-28,1.031697303
2023-03-01,1.04398598
2023-03-02,1.034709437
2023-03-03,1.038015294
2023-03-06,1.033241483
2023-03-07,1.018695316
2023-03-08,1.018700046
2023-03-09,1.017147079
2023-03-10,1.026275363
2023-03-13,1.041536959
2023-03-14,1.039386432
2023-03-15,1.029247427
2023-03-16,1.032890134
2023-03-17,1.037312298
2023-03-20,1.04111718
2023-03-21,1.039540304
2023-03-22,1.040834217
2023-03-23,1.048321255
2023-03-24,1.038228615
2023-03-27,1.039419727
2023-03-28,1.044431003
2023-03-29,1.040478694
2023-03-30,1.044164217
2023-03-31,1.041193364
2023-04-03,1.044459512
2023-04-04,1.043956258
2023-04-05,1.042230856
2023-04-06,1.041161917
2023-04-07,1.040569424
2023-04-10,1.034761993
2023-04-11,1.03559806
2023-04-12,1.040639252
2023-04-13,1.047864529
2023-04-14,1.042153076
2023-04-17,1.038169939
2023-04-18,1.040692737
2023-04-19,1.038563413
2023-04-20,1.041239844
2023-04-21,1.037050282
2023-04-24,1.038540018
2023-04-25,1.028956343
2023-04-26,1.031093594
2023-04-27,1.032393974
2023-04-28,1.032847342
2023-05-01,1.030641076
2023-05-02,1.026531433
2023-05-03,1.032294924
2023-05-04,1.033090646
2023-05-05,1.034745177
2023-05-08,1.034273623
2023-05-09,1.030623338
2023-05-10,1.030614274
2023-05-11,1.02663451
2023-05-12,1.022411359
2023-05-15,1.020897628
2023-05-16,1.017415317
2023-05-17,1.013133645
2023-05-18,1.003810168
2023-05-19,1.003558078
2023-05-22,1.003163908
2023-05-23,0.9998405328
2023-05-24,0.9997798968
2023-05-25,0.9976598858
2023-05-26,0.9969421633
2023-05-29,0.9946546662
2023-05-30,0.9968902982
2023-05-31,0.9968203527
2023-06-01,0.9970043333
2023-06-02,0.9933155875
2023-06-05,0.994555113
2023-06-06,0.9940827124
2023-06-07,0.9962885982
2023-06-08,0.9969048211
2023-06-09,0.9961538591
2023-06-12,0.9986393537
2023-06-13,1.001712419
2023-06-14,1.002170476
2023-06-15,1.00516645
2023-06-16,1.004187117
2023-06-19,1.002028331
2023-06-20,0.9993431307
2023-06-21,1.003808863
2023-06-22,0.9994566142
2023-06-23,0.9915610016
2023-06-26,0.9917973064
2023-06-27,0.9938792199
2023-06-28,0.988546316
2023-06-29,0.9869312912
2023-06-30,0.9915039263
2023-07-03,0.9905673615
2023-07-04,0.9899171127
2023-07-05,0.9871364478
2023-07-06,0.9878464956
2023-07-07,0.9862541503
2023-07-10,0.9884157825
2023-07-11,0.9877256046
2023-07-12,0.9935951939
2023-07-13,1.0022079
2023-07-14,1.000791076
2023-07-17,1.002258403
2023-07-18,1.002152491
2023-07-19,1.003218845
2023-07-20,0.9953629448
2023-07-21,0.9943006467
2023-07-24,0.9881992306
2023-07-25,0.9867034253
2023-07-26,0.9871503744
2023-07-27,0.9831238404
2023-07-28,0.9802257437
2023-07-31,0.9792355905
2023-08-01,0.9744386719
2023-08-02,0.9692146343
2023-08-03,0.9677395376
2023-08-04,0.9706363028
2023-08-07,0.9752903283
2023-08-08,0.9697173289
2023-08-09,0.9697233381
2023-08-10,0.9685781597
2023-08-11,0.9685196975
2023-08-14,0.9667005093
2023-08-15,0.966491773
2023-08-16,0.9666401061
2023-08-17,0.9643719272
2023-08-18,0.9638735614
2023-08-21,0.9668728359
2023-08-22,0.964102004
2023-08-23,0.9623464744
2023-08-24,0.9635246244
2023-08-25,0.9643507771
2023-08-28,0.9613812301
2023-08-29,0.9607495239
2023-08-30,0.9630079287
2023-08-31,0.9583641576
2023-09-01,0.95661284
2023-09-04,0.9559662215
2023-09-05,0.9573614196
2023-09-06,0.9562121835
2023-09-07,0.9577375032
2023-09-08,0.958771529
2023-09-11,0.9503950728
2023-09-12,0.953194571
2023-09-13,0.9501877652
2023-09-14,0.9529565292
2023-09-15,0.9523545161
2023-09-18,0.950585184
2023-09-19,0.9513772884
2023-09-20,0.9522961379
2023-09-21,0.9490752094
2023-09-22,0.9506740093
2023-09-25,0.9513577206
2023-09-26,0.9505373238
2023-09-27,0.9547983927
2023-09-28,0.9504505204
2023-09-29,0.9505254624
2023-10-02,0.9514376337
2023-10-03,0.9508418745
2023-10-04,0.947940513
2023-10-05,0.9435974735
2023-10-06,0.9404462186
2023-10-09,0.9420230301
2023-10-10,0.9384237849
2023-10-11,0.9369015009
2023-10-12,0.9433706477
2023-10-13,0.9452317571
2023-10-16,0.9398932234
2023-10-17,0.9384465107
2023-10-18,0.9401622232
2023-10-19,0.93755356
2023-10-20,0.9368276877
2023-10-23,0.9326338033
2023-10-24,0.9355959021
2023-10-25,0.9344566046
2023-10-26,0.9337851557
2023-10-27,0.9338300924
2023-10-30,0.9340436929
2023-10-31,0.9338719115
2023-11-01,0.9293634654
2023-11-02,0.9263406704
2023-11-03,0.9219754655
2023-11-06,0.9236120809
2023-11-07,0.9225117314
2023-11-08,0.9215631925
2023-11-09,0.9201237494
2023-11-10,0.9200750163
2023-11-13,0.918133858
2023-11-14,0.9284210131
2023-11-15,0.9318160868
2023-11-16,0.9281193644
2023-11-17,0.9328970225
2023-11-20,0.9441330277
2023-11-21,0.9489905091
2023-11-22,0.9452934989
2023-11-23,0.9440967771
2023-11-24,0.9464252194
2023-11-27,0.9474082529
2023-11-28,0.9536963738
2023-11-29,0.9540836162
2023-11-30,0.9506222562
2023-12-01,0.9527514478
2023-12-04,0.9499569597
2023-12-05,0.9444257905
2023-12-06,0.9422400135
2023-12-07,0.9468845883
2023-12-08,0.9441642532
2023-12-11,0.9465523886
2023-12-12,0.9458101044
2023-12-13,0.9508988304
2023-12-14,0.9707330164
2023-12-15,0.9680325404
2023-12-18,0.9664067367
2023-12-19,0.9669132051
2023-12-20,0.9630765197
2023-12-21,0.9707046101
2023-12-22,0.9710401173
2023-12-25,0.9728707566
2023-12-26,0.9743013112
2023-12-27,0.9769186893
2023-12-28,0.9790047569
2023-12-29,0.9778616693
2024-01-01,0.9782074132
2024-01-02,0.9691497885
2024-01-03,0.9655049285
2024-01-04,0.9606215951
2024-01-05,0.961826585
2024-01-08,0.959310442
2024-01-09,0.9580239537
2024-01-10,0.9570853403
2024-01-11,0.9554620587
2024-01-12,0.95462282
2024-01-15,0.9567537859
2024-01-16,0.9491611393
2024-01-17,0.9408564256
2024-01-18,0.9399064642
2024-01-19,0.9417966976
2024-01-22,0.9408692204
2024-01-23,0.9406874801
2024-01-24,0.9429936818
2024-01-25,0.9419616476
2024-01-26,0.9413208757
2024-01-29,0.9398450734
2024-01-30,0.9418046968
2024-01-31,0.9399348196
2024-02-01,0.9424332647
2024-02-02,0.9366823703
2024-02-05,0.9296710167
2024-02-06,0.931606158
2024-02-07,0.9325539848
2024-02-08,0.9308378164
2024-02-09,0.9313991442
2024-02-12,0.9292722578
2024-02-13,0.9308991137
2024-02-14,0.9269550783
2024-02-15,0.9250904243
2024-02-16,0.9248542659
2024-02-19,0.9253117009
2024-02-20,0.9235703827
2024-02-21,0.9223098029
2024-02-22,0.9224861378
2024-02-23,0.9224411055
2024-02-26,0.9210013576
2024-02-27,0.9213096516
2024-02-28,0.9216550534
2024-02-29,0.9220264232
2024-03-01,0.91917248
2024-03-04,0.9202257942
2024-03-05,0.9214111953
2024-03-06,0.9147067073
2024-03-07,0.9066330342
2024-03-08,0.906954364
2024-03-11,0.9080706462
2024-03-12,0.9046014136
2024-03-13,0.9028304803
2024-03-14,0.9068144223
2024-03-15,0.9074642477
2024-03-18,0.9096574987
2024-03-19,0.9129276588
2024-03-20,0.9102982299
2024-03-21,0.9122758075
2024-03-22,0.9183809518
2024-03-25,0.9168251333
2024-03-26,0.9179725728
2024-03-27,0.9188776406
2024-03-28,0.9210408111
2024-03-29,0.9208127079
2024-04-01,0.9215865051
2024-04-02,0.9215503772
2024-04-03,0.9203290398
2024-04-04,0.9208912145
2024-04-05,0.9206617707
2024-04-08,0.9212356645
2024-04-09,0.9218885941
2024-04-10,0.9225909342
2024-04-11,0.9242362574
2024-04-12,0.9250456064
2024-04-15,0.92858004
2024-04-16,0.9285044312
2024-04-17,0.9275032849
2024-04-18,0.9278427581
2024-04-19,0.9267484728
2024-04-22,0.9270905034
2024-04-23,0.9246885502
2024-04-24,0.924974417
2024-04-25,0.9248919119
2024-04-26,0.9272456752
2024-04-29,0.9391492654
2024-04-30,0.9280930777
2024-05-01,0.9247299562
2024-05-02,0.9259566769
2024-05-03,0.923091969
2024-05-06,0.907686349
2024-05-07,0.9102364537
2024-05-08,0.9118480048
2024-05-09,0.9124817628
2024-05-10,0.9126391726
2024-05-13,0.9124440488
2024-05-14,0.914310736
2024-05-15,0.9187457988
2024-05-16,0.9136386193
2024-05-17,0.9141906337
2024-05-20,0.9101048518
2024-05-21,0.9097105784
2024-05-22,0.9058495211
2024-05-23,0.9048124145
2024-05-24,0.9064765344
2024-05-27,0.9081573733
2024-05-28,0.9075483587
2024-05-29,0.9035993699
2024-05-30,0.9054321548
2024-05-31,0.9066943978
2024-06-03,0.9062786712
2024-06-04,0.9026098052
2024-06-05,0.9007654675
2024-06-06,0.9020476746
2024-06-07,0.9019193293
2024-06-10,0.9060814948
2024-06-11,0.9072031774
2024-06-12,0.9036852221
2024-06-13,0.9090566549
2024-06-14,0.9111840779
2024-06-17,0.9091561853
2024-06-18,0.910110399
2024-06-19,0.9093075574
2024-06-20,0.912372428
2024-06-21,0.9131531891
2024-06-24,0.9117220653
2024-06-25,0.9124164036
2024-06-26,0.9152401931
2024-06-27,0.9150067364
2024-06-28,0.9134215241
2024-07-01,0.9127854106
2024-07-02,0.913426296
2024-07-03,0.9098082446
2024-07-04,0.9089207655
2024-07-05,0.9108946335
2024-07-08,0.9078030936
2024-07-09,0.9074062413
2024-07-10,0.9087201995
2024-07-11,0.9121708616
2024-07-12,0.9166995364
2024-07-15,0.9140096401
2024-07-16,0.9116367767
2024-07-17,0.9140053038
2024-07-18,0.9129550168
2024-07-19,0.9106274733
2024-07-22,0.9070924566
2024-07-23,0.9057459236
2024-07-24,0.9060279992
2024-07-25,0.9102140572
2024-07-26,0.9104399026
2024-07-29,0.9066842502
2024-07-30,0.9045245306
2024-07-31,0.909039589
2024-08-01,0.9143835059
2024-08-02,0.9209278706
2024-08-05,0.9392542132
2024-08-06,0.9356033224
2024-08-07,0.9294344882
2024-08-08,0.926438186
2024-08-09,0.9273933141
2024-08-12,0.9252342301
2024-08-13,0.9249138657
2024-08-14,0.9296677025
2024-08-15,0.9225801747
2024-08-16,0.9254991125
2024-08-19,0.9305535126
2024-08-20,0.9334798215
2024-08-21,0.9370356047
2024-08-22,0.9338133399
2024-08-23,0.9404278592
2024-08-26,0.9413504682
2024-08-27,0.9406570135
2024-08-28,0.9385588533
2024-08-29,0.9393485757
2024-08-30,0.9378944409
2024-09-02,0.9369496701
2024-09-03,0.9294985675
2024-09-04,0.9321453285
2024-09-05,0.9352530534
2024-09-06,0.9333444055
2024-09-09,0.9340220867
2024-09-10,0.9315158549
2024-09-11,0.9345120021
2024-09-12,0.934904142
2024-09-13,0.9368377973
2024-09-16,0.9425214582
2024-09-17,0.9415399572
2024-09-18,0.9409293646
2024-09-19,0.9392502192
2024-09-20,0.9408668986
2024-09-23,0.9367344653
2024-09-24,0.9420765937
2024-09-25,0.9406346581
2024-09-26,0.940508966
2024-09-27,0.9400417422
2024-09-30,0.9421932899
2024-10-01,0.9373591215
2024-10-02,0.9370583062
2024-10-03,0.9306828508
2024-10-04,0.931188007
2024-10-07,0.9301614909
2024-10-08,0.9254354122
2024-10-09,0.9252770578
2024-10-10,0.9244787121
2024-10-11,0.9247464666
2024-10-14,0.9281382127
2024-10-15,0.9291473305
2024-10-16,0.9325369144
2024-10-17,0.9332259412
2024-10-18,0.9296619092
2024-10-21,0.9351299019
2024-10-22,0.9361401681
2024-10-23,0.9414477527
2024-10-24,0.9382100343
2024-10-25,0.9422184009
2024-10-28,0.9436786601
2024-10-29,0.9435852122
2024-10-30,0.9413013834
2024-10-31,0.9392082356
2024-11-01,0.9432132812
2024-11-04,0.9362677053
2024-11-05,0.9313902074
2024-11-06,0.9513570312
2024-11-07,0.9414111889
2024-11-08,0.9513978903
2024-11-11,0.9548938703
2024-11-12,0.9606451031
2024-11-13,0.9661833783
2024-11-14,0.9710798702
2024-11-15,0.9702798389
2024-11-18,0.9643831635
2024-11-19,0.962777221
2024-11-20,0.9675935719
2024-11-21,0.9696714359
2024-11-22,0.973236355
2024-11-25,0.9679600158
2024-11-26,0.9707567693
2024-11-27,0.9645848242
2024-11-28,0.9640546233
2024-11-29,0.9620952208
2024-12-02,0.9687213501
2024-12-03,0.9681528248
2024-12-04,0.9685528408
2024-12-05,0.9644897238
2024-12-06,0.9697072443
2024-12-09,0.9665565136
2024-12-10,0.9714591142
2024-12-11,0.9742408908
2024-12-12,0.9771337831
2024-12-13,0.9763850881
2024-12-16,0.9775834312
2024-12-17,0.9804253992
2024-12-18,0.9929487109
2024-12-19,0.9932160423
2024-12-20,0.9897241444
2024-12-23,0.9920498377
2024-12-24,0.9934579753
2024-12-25,0.992991428
2024-12-26,0.9942583321
2024-12-27,0.9943672763
2024-12-30,0.9952863242
2024-12-31,0.9990235883
2025-01-01,0.9985462629
2025-01-02,1.001285492
2025-01-03,0.9998713651
2025-01-06,0.9957702349
2025-01-07,0.9989699105
2025-01-08,1.000691762
2025-01-09,1.002486568
2025-01-10,1.007499262
2025-01-13,1.004675933
2025-01-14,1.001021819
2025-01-15,0.9998766537
2025-01-16,0.9976502763
2025-01-17,0.9995246589
2025-01-20,0.9874905025
2025-01-21,0.9828066546
2025-01-22,0.9832979029
2025-01-23,0.9824505753
2025-01-24,0.9731645316
2025-01-27,0.9742418979
2025-01-28,0.9789419676
2025-01-29,0.9807396267
2025-01-30,0.9846552941
2025-01-31,0.9859878492
2025-02-03,0.9840893961
2025-02-04,0.9804523186
2025-02-05,0.9784045942
